"序号","版本","应用状态","状态开始时间","状态结束时间","状态持续时长"
"1","4.2.7.4","清榜","2025-08-18 10:05:12","2025-08-18 11:46:49","1小时41分"
"2","4.2.7.4","清榜","2025-07-18 10:30:08","2025-07-18 12:09:04","1小时38分"
"3","4.2.7.4","清榜","2025-06-16 10:18:28","2025-06-16 12:04:29","1小时46分"
"4","4.2.6.4","清榜","2025-02-16 10:12:06","2025-02-16 11:49:59","1小时37分"
"5","4.2.4.4","清榜","2024-08-03 09:18:43","2024-08-03 11:10:01","1小时51分"
"6","4.2.3.4","清榜","2024-07-01 00:26:06","2024-07-01 02:13:10","1小时47分"
"7","4.2.2.4","清榜","2024-01-27 09:48:01","2024-01-27 11:16:07","1小时28分"
"8","4.1.7.4","清榜","2023-04-07 09:11:58","2023-04-07 10:47:44","1小时35分"
"9","4.1.7.4","清榜","2023-02-01 09:07:38","2023-02-01 10:50:00","1小时42分"
"10","4.1.7.4","清榜","2023-01-01 09:26:05","2023-01-01 10:50:50","1小时24分"
"11","4.1.6.4","清榜","2022-11-27 09:09:50","2022-11-27 10:49:03","1小时39分"
"12","4.1.4.4","清榜","2022-10-01 21:04:43","2022-10-01 22:42:14","1小时37分"
"13","4.1.1.4","清榜","2022-02-06 03:30:09","2022-02-06 05:18:49","1小时48分"
"14","4.0.9.1","清榜","2021-07-25 21:21:07","2021-07-25 23:15:24","1小时54分"
"15","4.0.6.2","清榜","2021-03-03 06:13:41","2021-03-03 07:42:44","1小时29分"
"16","4.0.6.2","清榜","2021-01-22 00:10:38","2021-01-22 02:06:41","1小时56分"
"17","4.0.2.7","清榜","2020-08-25 08:34:44","2020-08-25 10:30:05","1小时55分"
"18","4.0.2.7","清榜","2020-07-25 20:38:47","2020-07-25 22:31:02","1小时52分"
"19","3.0.2","清榜","2020-04-30 05:37:50","2020-04-30 07:36:17","1小时58分"
"20","3.0.2","清榜","2020-03-30 02:38:23","2020-03-30 04:37:34","1小时59分"
"21","3.0.2","清榜","2020-02-27 23:45:07","2020-02-28 01:36:33","1小时51分"
"22","1.0~4.2.7.4","在架","2010-12-07 07:40:26","持续中","14年262天10小时53分"
